date,temp
20190820,18.29230769230769
20190821,16.72083333333333
20190822,13.875
20190823,17.69090909090909
20190824,17.6125
20190825,19.545833333333334
20190826,19.474999999999998
20190827,20.716666666666665
20190828,19.795833333333334
20190829,19.241666666666667
20190830,16.60833333333333
20190831,18.179166666666667
20190901,17.108333333333334
20190902,14.425000000000002
20190903,14.275
20190904,11.295833333333333
20190905,12.737499999999999
20190906,10.904166666666667
20190907,11.616666666666667
20190908,11.683333333333332
20190909,12.699999999999998
20190910,15.483333333333334
20190911,14.766666666666666
20190912,14.660869565217393
20190913,14.275
20190914,12.0
20190915,14.595833333333333
20190916,13.341666666666669
20190917,11.441666666666668
20190918,11.733333333333334
20190919,9.45
20190920,13.329166666666666
20190921,14.204166666666666
20190922,14.3125
20190923,11.279166666666667
20190924,11.391666666666666
20190925,11.779166666666667
20190926,11.225
20190927,10.2875
20190928,11.466666666666667
20190929,11.799999999999999
20190930,8.804166666666667
20191001,10.366666666666667
20191002,8.995833333333334
20191003,6.229166666666667
20191004,4.8875
20191005,3.858333333333333
20191006,3.570833333333333
20191007,2.845833333333333
20191008,4.075
20191009,5.266666666666667
20191010,7.1916666666666655
20191011,7.662499999999999
20191012,8.7125
20191013,8.166666666666666
20191014,8.569565217391304
20191015,7.25
20191016,7.091666666666668
20191017,7.604166666666667
20191018,8.016666666666667
20191019,7.412499999999999
20191020,6.024999999999999
20191021,4.8625
20191022,8.145833333333334
20191023,10.15
20191024,9.891666666666667
20191025,10.5875
20191026,5.766666666666667
20191027,3.928
20191028,3.2500000000000004
20191029,2.9333333333333336
20191030,1.3666666666666665
20191031,4.233333333333333
20191101,1.2083333333333333
20191102,2.7375000000000003
20191103,2.1133333333333333
20191104,0.3666666666666667
20191105,-2.1333333333333333
20191106,-2.986363636363636
20191107,-2.6833333333333336
20191108,-0.7666666666666666
20191109,0.09583333333333333
20191110,-0.8083333333333332
20191111,-1.9583333333333333
20191112,1.45
20191113,3.579166666666667
20191114,3.3125
20191115,3.4083333333333337
20191116,2.945833333333333
20191117,3.5875
20191118,3.4791666666666665
20191119,5.608333333333334
20191120,1.7625
20191121,4.970833333333334
20191122,5.720833333333334
20191123,5.241666666666666
20191124,3.891666666666667
20191125,2.4458333333333333
20191126,2.15
20191127,2.3333333333333335
20191128,1.2125000000000001
20191129,-0.0791666666666667
20191130,-4.05
20191201,-4.645833333333333
20191202,-4.6000000000000005
20191203,-2.141666666666667
20191204,-0.17916666666666667
20191205,5.595833333333334
20191206,3.829166666666667
20191207,2.575
20191208,0.6749999999999999
20191209,2.025
20191210,-1.3583333333333334
20191211,5.2749999999999995
20191212,4.370833333333334
20191213,2.720833333333333
20191214,2.1849999999999996
20191215,2.19
20191216,0.5708333333333334
20191217,-1.0444444444444445
20191218,-4.3125
20191219,-3.65
20191220,1.9416666666666664
20191221,3.5499999999999994
20191222,2.733333333333333
20191223,1.9541666666666668
20191224,1.7583333333333335
20191225,0.325
20191226,-2.316666666666667
20191227,-4.308333333333334
20191228,-0.7333333333333334
20191229,5.704166666666667
20191230,7.7
20191231,3.4458333333333333
20200101,4.0249999999999995
20200102,5.545833333333333
20200103,5.825
20200104,2.566666666666667
20200105,1.0041666666666667
20200106,2.9291666666666667
20200107,5.425
20200108,7.129166666666666
20200109,2.8458333333333337
20200110,-0.08749999999999997
20200111,4.120833333333334
20200112,5.329166666666667
20200113,1.5416666666666667
20200114,5.329166666666667
20200115,5.304166666666666
20200116,6.595833333333334
20200117,6.395833333333333
20200118,4.870833333333334
20200119,3.0124999999999997
20200120,4.820833333333334
20200121,7.675000000000001
20200122,4.529166666666667
20200123,1.3708333333333333
20200124,5.733333333333334
20200125,3.5750000000000006
20200126,5.0249999999999995
20200127,5.145833333333333
20200128,3.3041666666666667
20200129,2.2916666666666665
20200130,0.5458333333333334
20200131,1.4041666666666668
20200201,5.366666666666667
20200202,4.05
20200203,0.12083333333333335
20200204,-0.4875
20200205,0.8874999999999998
20200206,2.9666666666666663
20200207,1.0708333333333333
20200208,3.8833333333333333
20200209,5.383333333333333
20200210,6.320833333333333
20200211,3.704166666666667
20200212,4.3625
20200213,2.1958333333333333
20200214,0.09999999999999998
20200215,5.716666666666666
20200216,6.8999999999999995
20200217,5.3909090909090915
20200218,5.8374999999999995
20200219,2.7083333333333335
20200220,3.1166666666666667
20200221,4.9875
20200222,6.579166666666666
20200223,5.179166666666666
20200224,2.625
20200225,1.1166666666666667
